#Release 14.1 - par P.15xf (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Thu Dec 20 17:01:38 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       DC7_PCI_map.ncd
#OUTPUT FILE:      DC7_PCI_pad.csv
#PART TYPE:        xc3s250e
#SPEED GRADE:      -4
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P26,,DIFFS,IO_L08N_3,UNUSED,,3,,,,,,,,,
P27,,,GND,,,,,,,,,,,,
P28,,,VCCO_3,,,3,,,,,3.30,,,,
P29,IRdy,IBUF,IP,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P30,,,VCCAUX,,,,,,,,2.5,,,,
P31,AD<17>,IOB,IO/VREF_3,BIDIR,LVCMOS33,3,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P32,,DIFFM,IO_L09P_3,UNUSED,,3,,,,,,,,,
P33,,DIFFS,IO_L09N_3,UNUSED,,3,,,,,,,,,
P34,,DIFFM,IO_L10P_3,UNUSED,,3,,,,,,,,,
P35,,DIFFS,IO_L10N_3,UNUSED,,3,,,,,,,,,
P36,CBE<3>,IBUF,IP,INPUT,LVCMOS33,3,,,PULLUP,NONE,,LOCATED,NO,NONE,
P37,,,GND,,,,,,,,,,,,
P38,CBE<2>,IBUF,IP,INPUT,LVCMOS33,2,,,PULLUP,NONE,,LOCATED,NO,NONE,
P39,,DIFFM,IO_L01P_2/CSO_B,UNUSED,,2,,,,,,,,,
P40,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,
P41,CBE<1>,IBUF,IP,INPUT,LVCMOS33,2,,,PULLUP,NONE,,LOCATED,NO,NONE,
P42,,,VCCO_2,,,2,,,,,3.30,,,,
P43,,DIFFM,IO_L02P_2/DOUT/BUSY,UNUSED,,2,,,,,,,,,
P44,,DIFFS,IO_L02N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
P45,,,VCCINT,,,,,,,,1.2,,,,
P46,,,GND,,,,,,,,,,,,
P47,CBE<0>,IBUF,IP_L03P_2,INPUT,LVCMOS33,2,,,PULLUP,NONE,,LOCATED,NO,NONE,
P48,ADEx<0>,IBUF,IP_L03N_2/VREF_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P49,,,VCCO_2,,,2,,,,,3.30,,,,
P50,,DIFFM,IO_L04P_2/D7/GCLK12,UNUSED,,2,,,,,,,,,
P51,,DIFFS,IO_L04N_2/D6/GCLK13,UNUSED,,2,,,,,,,,,
P52,,IOB,IO/D5,UNUSED,,2,,,,,,,,,
P53,,DIFFM,IO_L05P_2/D4/GCLK14,UNUSED,,2,,,,,,,,,
P54,,DIFFS,IO_L05N_2/D3/GCLK15,UNUSED,,2,,,,,,,,,
P55,,,GND,,,,,,,,,,,,
P56,,DIFFMI,IP_L06P_2/RDWR_B/GCLK0,UNUSED,,2,,,,,,,,,
P57,,DIFFSI,IP_L06N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
P58,AD<8>,IOB,IO_L07P_2/D2/GCLK2,BIDIR,LVCMOS33,2,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P59,AD<9>,IOB,IO_L07N_2/D1/GCLK3,BIDIR,LVCMOS33,2,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P60,,IOB,IO/M1,UNUSED,,2,,,,,,,,,
P61,,,GND,,,,,,,,,,,,
P62,,DIFFM,IO_L08P_2/M0,UNUSED,,2,,,,,,,,,
P63,,DIFFS,IO_L08N_2/DIN/D0,UNUSED,,2,,,,,,,,,
P64,,,VCCO_2,,,2,,,,,3.30,,,,
P65,,,VCCAUX,,,,,,,,2.5,,,,
P66,AD<16>,IOB,IO/VREF_2,BIDIR,LVCMOS33,2,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P67,,DIFFM,IO_L09P_2/VS2/A19,UNUSED,,2,,,,,,,,,
P68,,DIFFS,IO_L09N_2/VS1/A18,UNUSED,,2,,,,,,,,,
P69,ADEx<1>,IBUF,IP,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P70,,DIFFM,IO_L10P_2/VS0/A17,UNUSED,,2,,,,,,,,,
P71,,DIFFS,IO_L10N_2/CCLK,UNUSED,,2,,,,,,,,,
P72,,,DONE,,,,,,,,,,,,
P73,,,GND,,,,,,,,,,,,
P74,LED,IOB,IO_L01P_1/A16,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P75,,DIFFS,IO_L01N_1/A15,UNUSED,,1,,,,,,,,,
P76,,DIFFM,IO_L02P_1/A14,UNUSED,,1,,,,,,,,,
P77,,DIFFS,IO_L02N_1/A13,UNUSED,,1,,,,,,,,,
P78,,IBUF,IP,UNUSED,,1,,,,,,,,,
P79,,,VCCO_1,,,1,,,,,3.30,,,,
P80,,,VCCINT,,,,,,,,1.2,,,,
P81,USBData<0>,IOB,IO_L03P_1/A12,BIDIR,LVCMOS33,1,4,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P82,USBData<1>,IOB,IO_L03N_1/A11,BIDIR,LVCMOS33,1,4,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P83,USBData<2>,IOB,IO/VREF_1,BIDIR,LVCMOS33,1,4,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P84,,IBUF,IP,UNUSED,,1,,,,,,,,,
P85,USBData<3>,IOB,IO_L04P_1/A10/RHCLK0,BIDIR,LVCMOS33,1,4,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P86,USBData<4>,IOB,IO_L04N_1/A9/RHCLK1,BIDIR,LVCMOS33,1,4,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P87,USBData<5>,IOB,IO_L05P_1/A8/RHCLK2,BIDIR,LVCMOS33,1,4,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P88,USBData<6>,IOB,IO_L05N_1/A7/RHCLK3/TRDY1,BIDIR,LVCMOS33,1,4,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P89,,IBUF,IP,UNUSED,,1,,,,,,,,,
P90,,,GND,,,,,,,,,,,,
P91,USBData<7>,IOB,IO_L06P_1/A6/RHCLK4/IRDY1,BIDIR,LVCMOS33,1,4,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P92,USBRead,IOB,IO_L06N_1/A5/RHCLK5,OUTPUT,LVCMOS33,1,4,SLOW,NONE**,,,LOCATED,NO,NONE,
P93,AD<10>,IOB,IO_L07P_1/A4/RHCLK6,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P94,AD<11>,IOB,IO_L07N_1/A3/RHCLK7,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P95,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
P96,AD<12>,IOB,IO_L08P_1/A2,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P97,AD<13>,IOB,IO_L08N_1/A1,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P98,USBWrite,IOB,IO/A0,OUTPUT,LVCMOS33,1,4,SLOW,NONE**,,,LOCATED,NO,NONE,
P99,,,GND,,,,,,,,,,,,
P100,,,VCCO_1,,,1,,,,,3.30,,,,
P101,,IBUF,IP,UNUSED,,1,,,,,,,,,
P102,,,VCCAUX,,,,,,,,2.5,,,,
P103,AD<14>,IOB,IO_L09P_1/HDC,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P104,AD<15>,IOB,IO_L09N_1/LDC0,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P105,DData,IOB,IO_L10P_1/LDC1,BIDIR,LVCMOS33,1,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P106,DClock,IOB,IO_L10N_1/LDC2,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P107,,IBUF,IP,UNUSED,,1,,,,,,,,,
P108,,,TMS,,,,,,,,,,,,
P109,,,TDO,,,,,,,,,,,,
P110,,,TCK,,,,,,,,,,,,
P111,,IBUF,IP,UNUSED,,0,,,,,,,,,
P112,SSClock,IOB,IO_L01P_0,OUTPUT,LVCMOS33,0,4,SLOW,NONE**,,,LOCATED,NO,NONE,
P113,SSAddr,IOB,IO_L01N_0,OUTPUT,LVCMOS33,0,2,SLOW,NONE**,,,LOCATED,NO,NONE,
P114,,IBUF,IP,UNUSED,,0,,,,,,,,,
P115,,,VCCINT,,,,,,,,1.2,,,,
P116,SSStrobe,IOB,IO_L02P_0,OUTPUT,LVCMOS33,0,2,SLOW,NONE**,,,LOCATED,NO,NONE,
P117,SSDOut,IOB,IO_L02N_0,OUTPUT,LVCMOS33,0,4,FAST,NONE**,,,LOCATED,NO,NONE,
P118,,,GND,,,,,,,,,,,,
P119,SSDIn,IBUF,IP_L03P_0,INPUT,LVCMOS33,0,,,PULLUP,NONE,,LOCATED,NO,NONE,
P120,SSAck,IBUF,IP_L03N_0,INPUT,LVCMOS33,0,,,PULLUP,NONE,,LOCATED,NO,NONE,
P121,,,VCCO_0,,,0,,,,,3.30,,,,
P122,Probe,IOB,IO_L04P_0/GCLK4,OUTPUT,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P123,,DIFFS,IO_L04N_0/GCLK5,UNUSED,,0,,,,,,,,,
P124,TRdy,IOB,IO/VREF_0,TRISTATE,LVCMOS33,0,4,SLOW,NONE**,,,LOCATED,NO,NONE,
P125,DevSel,IOB,IO_L05P_0/GCLK6,TRISTATE,LVCMOS33,0,12,FAST,NONE**,,,LOCATED,NO,NONE,
P126,PCI_Clock,IBUF,IO_L05N_0/GCLK7,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P127,,,GND,,,,,,,,,,,,
P128,PCI_Reset,IBUF,IP_L06P_0/GCLK8,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P129,,DIFFSI,IP_L06N_0/GCLK9,UNUSED,,0,,,,,,,,,
P130,AD<0>,IOB,IO_L07P_0/GCLK10,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P131,AD<1>,IOB,IO_L07N_0/GCLK11,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P132,AD<2>,IOB,IO,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P133,,,GND,,,,,,,,,,,,
P134,AD<3>,IOB,IO_L08P_0,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P135,AD<4>,IOB,IO_L08N_0/VREF_0,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P136,,IBUF,IP,UNUSED,,0,,,,,,,,,
P137,,,VCCAUX,,,,,,,,2.5,,,,
P138,,,VCCO_0,,,0,,,,,3.30,,,,
P139,AD<5>,IOB,IO_L09P_0,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P140,AD<6>,IOB,IO_L09N_0,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P141,,IBUF,IP,UNUSED,,0,,,,,,,,,
P142,AD<7>,IOB,IO_L10P_0,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P143,,DIFFS,IO_L10N_0/HSWAP,UNUSED,,0,,,,,,,,,
P144,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
